City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Longyearbyen,SJ,2022-09-03 02:02:01,78.2186,15.6401,44.15,99,99,8.14,overcast clouds
180,Vanimo,PG,2022-09-03 02:02:01,-2.6741,141.3028,86.14,61,37,8.39,scattered clouds
181,Fortuna,US,2022-09-03 02:02:01,40.5982,-124.1573,62.92,89,39,1.99,scattered clouds
182,Kalianget,ID,2022-09-03 02:02:02,-7.05,113.9333,85.03,64,52,4.38,broken clouds
183,Norman Wells,CA,2022-09-03 02:02:02,65.282,-126.8329,67.28,40,45,9.24,scattered clouds
184,Rockland,US,2022-09-03 02:02:02,41.1668,-74.0496,69.85,80,44,2.84,scattered clouds
185,Linden,GY,2022-09-03 02:02:03,6.0,-58.3,74.86,98,76,2.93,heavy intensity rain
186,Shwebo,MM,2022-09-03 02:02:03,22.5667,95.7,85.91,66,43,9.78,scattered clouds
187,Okato,NZ,2022-09-03 02:02:03,-39.2,173.8833,57.18,96,100,13.0,moderate rain
188,Aktau,KZ,2022-09-03 02:02:03,43.65,51.2,66.78,28,0,10.49,clear sky
189,San Rafael,AR,2022-09-03 01:59:31,-34.6177,-68.3301,53.42,26,0,8.43,clear sky
190,Hamilton,US,2022-09-03 01:59:25,39.1834,-84.5333,79.56,77,93,1.01,overcast clouds
191,Wajir,KE,2022-09-03 02:02:04,1.7471,40.0573,69.96,74,27,15.46,scattered clouds
192,Luderitz,NA,2022-09-03 02:02:05,-26.6481,15.1594,52.63,81,0,9.31,clear sky
193,Nanortalik,GL,2022-09-03 02:02:06,60.1432,-45.2371,48.47,57,100,21.32,overcast clouds
194,Sobolevo,RU,2022-09-03 02:02:06,54.4299,31.8996,40.28,79,53,4.97,broken clouds
195,Gurupa,BR,2022-09-03 02:02:06,-1.405,-51.64,76.75,69,50,3.44,scattered clouds
196,Vaitape,PF,2022-09-03 02:02:07,-16.5167,-151.75,78.96,67,0,19.98,clear sky
197,Pevek,RU,2022-09-03 02:02:07,69.7008,170.3133,34.27,93,100,4.7,snow
198,Bemidji,US,2022-09-03 02:02:07,47.4736,-94.8803,63.05,75,0,4.61,clear sky
199,Umm Kaddadah,SD,2022-09-03 02:02:07,13.6017,26.6876,81.91,60,88,15.05,overcast clouds
200,Banjar,ID,2022-09-03 02:02:08,-8.19,114.9675,87.57,55,7,2.01,clear sky
201,Bengkulu,ID,2022-09-03 02:02:08,-3.8004,102.2655,73.74,94,100,2.71,overcast clouds
202,Kyshtovka,RU,2022-09-03 02:02:08,56.555,76.6271,55.63,64,99,14.94,overcast clouds
203,Esperance,AU,2022-09-03 02:02:09,-33.8667,121.9,58.05,62,100,21.59,overcast clouds
204,Awbari,LY,2022-09-03 02:00:29,26.5921,12.7805,82.38,25,0,7.83,clear sky
205,Borogontsy,RU,2022-09-03 02:02:09,62.6683,131.1683,44.28,83,100,9.22,overcast clouds
206,San Quintin,MX,2022-09-03 02:02:09,30.4833,-115.95,77.45,72,2,7.43,clear sky
207,Nosy Varika,MG,2022-09-03 02:02:10,-20.5833,48.5333,65.55,78,100,3.91,overcast clouds
